acid,epoxide,tg_pred,pca1,pca2
COCCN(CCOCC(=O)O)CCN(C)CCOCC(=O)O,COC(=O)CCCN(CCOCC1CO1)CCOCC1CO1,253.2778,2.6246,2.7521
CN(C)CCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)CCOCCN(CC1CO1)CC1CO1,253.3256,4.0482,1.6911
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(CCN(CCOCC1CO1)CCOCC1CO1)c1ccccc1,242.6638,4.4163,2.5080
CCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCc1cccc(COCCN(CCOCC2CO2)CCOCC2CO2)c1,242.6202,3.6924,2.9847
CCCCN(CCCOCC(=O)O)CCN(C)CCOCC(=O)O,CC(C)(COCC1CO1)N(CCOCC1CO1)Cc1ccccc1,253.3823,3.2413,1.6944
COCCCN(CCOCCOCC(=O)O)CCOCC(=O)O,CC(COCc1cccc(OCC2CO2)c1)CN(CCc1ccccc1)CC1CO1,253.3974,3.4741,1.8244
O=C(O)CCN(CCCOCC(=O)O)CCNC(=O)CCOCC1CC1,CCOCc1ccccc1CN(CCCOCC1CO1)CCOCC1CO1,242.5951,3.8317,1.6393
CCCCCCN(CCNCCC(=O)O)CCC(=O)O,COc1cc(CCOCCN(CC2CO2)CC2CO2)cc(OC)c1,253.4825,4.5868,0.7434
O=C(O)CCN(CCNC(=O)COCC1CCC1)CCC(=O)O,COc1ccc(CCN(CCOCC2CO2)CCOCC2CO2)cc1,253.5438,3.5193,1.6368
CCOCCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COCc1ccc(OCCN(CC2CO2)CC2CO2)cc1,253.5569,4.0972,0.5906
CC(C)COCCN(CCCC(=O)O)CCC(=O)O,CCCCN(CCCOCC1CO1)CCOCC1CO1,253.6152,4.1982,2.7302
O=C(O)CCN(CCCOCC(=O)O)CCNC(=O)CCOCC1CC1,CCOCc1ccccc1CN(CCOCC1CO1)CC1CO1,253.6543,3.8570,1.6042
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COc1ccc(CCOCC2CO2)cc1OCCc1ccc(OCCN(C)CCOCC2CO2)cc1,242.1930,3.8199,2.2863
COCCCN(CCOCC(=O)O)CC(=O)CCCOCC(=O)O,COCCCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,253.8283,3.3988,2.2634
CC(C)COCCCN(CCCOCC(=O)O)CCOCC(=O)O,O=C(CCCOCC1CO1)NCCCN(CCOCC1CO1)Cc1ccccc1,253.8959,5.0258,2.5479
CCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cccc(CN(CCCOCC2CO2)CCC2CO2)c1,242.0954,3.9686,1.6255
CC(C)COCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,242.0860,4.0635,2.0941
CC(C)CN(CCCOCC(=O)O)CCCOCC(=O)O,COCCCN(CCOCC1CO1)Cc1ccccc1COCC1CO1,253.9208,4.7757,2.1444
CCOCCCN(CCOCCOCC(=O)O)CCOCC(=O)O,O=C(CCOCC1CO1)N(CCCOCC1CO1)Cc1ccccc1,253.9401,4.2796,1.9808
O=C(O)CCN(CCNCCOCC1CCC1)CCC(=O)O,COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,242.0236,3.4928,1.6626
CC(C)(C)OCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)OCCCN(CCOCC1CO1)CCOCC1CO1,241.8849,3.7855,1.7254
COCCN(CCCOCC(=O)O)CCC(=O)O,CCOc1ccc(CCN(CCOCC2CO2)CCOCC2CO2)cc1,254.1543,2.9600,2.0977
CC(C)(CCNNCCOCC(=O)O)COCC(=O)O,CCOCCCOc1ccc(N(CCCOCC2CO2)CCOCC2CO2)cc1,254.1646,2.9263,2.1816
CC(C)CCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cccc(CCN(CCOCC2CO2)CCOCC2CO2)c1,241.8076,4.9987,1.2443
O=C(O)COCCCNCCOCCOCCCOCC(=O)O,CCCN(CCOCC1CO1)Cc1ccccc1COCC1CO1,254.2170,4.3295,1.1788
CCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCc1cc(OCCN(CC2CO2)CC2CO2)ccc1OCCN(C)C,254.2299,4.7304,1.0456
CC(C)OCCN(CCCOCC(=O)O)CCOCC(=O)O,Cc1cc(CN(CCOCc2ccccc2)CCOCC2CO2)ccc1OCC1CO1,254.2684,2.9667,2.5357
CCOCCCN(CCOCC(=O)O)CCN(C)CCCOCC(=O)O,Cc1cc(COCC2CO2)cc(OCCOCC2CO2)c1,254.2839,3.3874,1.5404
CC(C)CCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,254.3102,4.9868,1.2301
O=C(O)CCCN(CCOCC(=O)O)C(=O)c1ccccc1OCCN1CCCCC1,CCCOCCCN(CCOCC1CO1)CCOCC1CO1,254.3643,3.0040,2.4290
CCCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cccc(CCN(CCOCC2CO2)CCOCC2CO2)c1,241.6148,4.9937,1.1540
COCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCc1ccc(CCNC(COCC2CO2)COCC2CO2)cc1,254.4185,4.3380,2.0453
CN(C)CCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)(c1cccc(OCCCOCC2CO2)c1)c1ccccc1OCCOCC1CO1,254.4902,3.1198,1.6407
CCCN(C)CCCN(CCOCC(=O)O)CCOCC(=O)O,COc1cc(CCOCC2CO2)ccc1OCCCOCC1CO1,254.5231,3.5297,2.4335
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COc1ccc(CN(CCOCC2CO2)CCOCC2CO2)c(OC)c1,241.4504,2.2606,1.7806
COCCCN(CCOCC(=O)O)CCN(CCOCC(=O)O)CCC1CCCC1,CCOCc1ccccc1CN(CCOCC1CO1)CCOCC1CO1,241.3967,3.7572,1.1103
